Año,Fecha aaaa-mm,Fecha aaaa-mm-dd,Pais Destino,Posición,Descripción Arancel,Descripción Arancel País,Cod. Armonizado/Producto Ingles,Desc. Cod. Armonizado Ingles,TOTAL Cantidad 1,Unidad Comercial 1,TOTAL Valor FOB (US$),Valor FOB Unitario US$ (Cantidad-1),TOTAL Peso Bruto (Kg),Via,Aduana,Exportador,Dirección,Ciudad domicilio,Estado domicilio,Empresa Extranjera,Empresa Extranjera Dirección,Puerto Embarque,Producto
2019,2019-01,07/01/2019,MYANMAR (BIRMANIA),804400100,AGUACATES (PALTAS) FRESCOS O SECOS.,AGUACATES (PALTAS) FRESCOS O SECOS.,80440,AVOCADO (AVOCADO) FRESH OR DRIED.,19200,KILOGRAMO,37312.02,1.94,19200,MARITIMA,MANZANILLO - COL,AVOCADOS DE JALISCO S A P I DE C V,AV TECNOLOGICO 390,CIUDAD GUZMAN,JALISCO,CALAVO GROWERS INC,1141 A CUMMINGS ROAD,COLIMA,Aguacate
2019,2019-01,22/01/2019,MYANMAR (BIRMANIA),804400100,AGUACATES (PALTAS) FRESCOS O SECOS.,AGUACATES (PALTAS) FRESCOS O SECOS.,80440,AVOCADO (AVOCADO) FRESH OR DRIED.,19200,KILOGRAMO,35576.02,1.85,20350,MARITIMA,MANZANILLO - COL,SABRIMEX SA DE CV,DR ALONSO MARTINEZ 620 5 JARDINADAS V DE MENDOZA Y B DIAZ DE G,ZAMORA,MICHOACAN,SUNFRESH TRADING CO LTD,KATO BLDG MATSUDO,COLIMA,Aguacate
2019,2019-01,26/01/2019,MYANMAR (BIRMANIA),804400100,AGUACATES (PALTAS) FRESCOS O SECOS.,AGUACATES (PALTAS) FRESCOS O SECOS.,80440,AVOCADO (AVOCADO) FRESH OR DRIED.,18528,KILOGRAMO,47199.97,2.55,20390,MARITIMA,MANZANILLO - COL,COMERCIALIZADORA GLOBAL FRUT S DE RL DE CV,CARRETERA URUAPAN SAN JUAN NUEVO KM5,URUAPAN,MICHOACAN,USA UNION INTERNATIONAL INC,THE OLD ROAD SUITE,COLIMA,Aguacate
2019,2019-01,31/01/2019,MYANMAR (BIRMANIA),804400100,AGUACATES (PALTAS) FRESCOS O SECOS.,AGUACATES (PALTAS) FRESCOS O SECOS.,80440,AVOCADO (AVOCADO) FRESH OR DRIED.,16160,KILOGRAMO,39682.01,2.46,17970,MARITIMA,MANZANILLO - COL,COMERCIALIZADORA GLOBAL FRUT S DE RL DE CV,CARRETERA URUAPAN SAN JUAN NUEVO KM5,URUAPAN,MICHOACAN,USA UNION INTERNATIONAL INC,THE OLD ROAD SUITE,COLIMA,Aguacate
2019,2019-01,10/01/2019,MYANMAR (BIRMANIA),804400100,AGUACATES (PALTAS) FRESCOS O SECOS.,AGUACATES (PALTAS) FRESCOS O SECOS.,80440,AVOCADO (AVOCADO) FRESH OR DRIED.,19144,KILOGRAMO,37999.99,1.98,19970,MARITIMA,LAZARO CARDENAS - MICH,EMPACADORA DE AGUACATES SAN LORENZO S A DE C V,KM 2 5 CARR URUAPAN SN J NVO SN JICALAN SR,URUAPAN,MICHOACAN,USA UNION INTERNATIONAL INC,THE OLD ROAD SUITE,MICHOACAN,Aguacate
2019,2019-01,09/01/2019,COREA DEL SUR,804400100,AGUACATES (PALTAS) FRESCOS O SECOS.,AGUACATES (PALTAS) FRESCOS O SECOS.,80440,AVOCADO (AVOCADO) FRESH OR DRIED.,19200,KILOGRAMO,37368.02,1.95,20000,MARITIMA,MANZANILLO - COL,MISSION DE MEXICO SA DE CV,LIBR OTE KM 1 7 QUIRINDAVARA URUAPAN MICH CAM VIEJO A STA ROSA C URUA AP,URUAPAN,MICHOACAN,MISSION PRODUCE INC,VINEYARD AV S300,COLIMA,Aguacate
2019,2019-01,26/01/2019,ESPAÑA,804400100,AGUACATES (PALTAS) FRESCOS O SECOS.,AGUACATES (PALTAS) FRESCOS O SECOS.,80440,AVOCADO (AVOCADO) FRESH OR DRIED.,21248,KILOGRAMO,40747.98,1.92,23500,MARITIMA,MANZANILLO - COL,AVO SELECT SA DE CV,CARR ESTATAL LIBRE CIUDAD GUZMAN ZAPOTILTIC MARGEN IZQUIERDO KM 3 5 ZAPOTLAN EL GRANDE CIUDAD GU,CIUDAD GUZMAN,JALISCO,COMPAIA AGUACATERA DEL SUR S L,PADRE TIENDA,COLIMA,Aguacate
2019,2019-01,07/01/2019,FRANCIA,804400100,AGUACATES (PALTAS) FRESCOS O SECOS.,AGUACATES (PALTAS) FRESCOS O SECOS.,80440,AVOCADO (AVOCADO) FRESH OR DRIED.,21120,KILOGRAMO,43560,02.06,23760,MARITIMA,LAZARO CARDENAS - MICH,FRUTAS REALES DEL PACIFICO SA DE CV,REFORMA 168 B MORELOS MAZATLAN Y GALEANA,URUAPAN,MICHOACAN,MILES IMPORT SAS,DESCONOCIDA,MICHOACAN,Aguacate
2019,2019-01,22/01/2019,ESTADOS UNIDOS,804400100,AGUACATES (PALTAS) FRESCOS O SECOS.,AGUACATES (PALTAS) FRESCOS O SECOS.,80440,AVOCADO (AVOCADO) FRESH OR DRIED.,17738.4,KILOGRAMO,21425.04,1.21,18580,MARITIMA,LAZARO CARDENAS - MICH,CALAVO DE MEXICO SA DE CV,LBTO ORIENTE 2650 QUIRINDAVARA URUAPAN MICH STA ROSA Y HOSPITAL REGIONAL,URUAPAN,MICHOACAN,CALAVO GROWERS INC,1141 A CUMMINGS ROAD,MICHOACAN,Aguacate
2019,2019-01,04/01/2019,COREA DEL SUR,804400100,AGUACATES (PALTAS) FRESCOS O SECOS.,AGUACATES (PALTAS) FRESCOS O SECOS.,80440,AVOCADO (AVOCADO) FRESH OR DRIED.,18515.2,KILOGRAMO,49193.99,2.66,20646.1,MARITIMA,LAZARO CARDENAS - MICH,FRUTAS FINAS DE VALLES DE MICHOACAN S A DE C V,CALZADA LAZARO CARADENAS 2000 SANTA CLARA DEL COBRE C IRA Y C,SALVADOR ESCALANTE,MICHOACAN,PSG GLOBAL INC,2760 E EL PRESIDIO ST,MICHOACAN,Aguacate
